Indicator|foracid|crncy_code|sol_id|nrml_accrued_amount_cr|interest_calc_upto_date_cr|accrued_upto_date_cr|booked_upto_date_cr|nrml_accrued_amount_dr|interest_calc_upto_date_dr|accrued_upto_date_dr|booked_upto_date_dr|Dummy|migr_cumbal_for_avgcalc_cr|migr_cumbal_date
INT|                |01 |001     | 000000000005917.77|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002268.45|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000001035.63|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000850.68|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000008198.64|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000181643.67|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000283.59|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000007397.28|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000542.43|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000628.74|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002353.59|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000014178.06|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002835.63|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000036328.89|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000005917.77|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000005104.08|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002034.27|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000813.69|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000004045.77|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002367.09|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000009207.27|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000104.76|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000006472.62|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000850.68|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000006805.44|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000062774.01|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000062774.01|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000008506.89|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000008284.95|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000019561.68|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002663.01|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000001627.38|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002157.57|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000003883.59|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002268.45|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002268.45|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000007089.03|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000032054.88|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000028356.12|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000008506.89|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000006497.28|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002665.44|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000001134.27|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000010849.32|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002576.70|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000001479.48|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000006509.61|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000008198.64|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000003976.02|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002268.45|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000246.60|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000881.40|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000005436.99|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002835.63|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000005387.67|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000001553.40|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000493.11|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000001196712.27|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000598356.33|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000001205260.29|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000427226.28|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000001775.34|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000992.43|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002835.63|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000003402.72|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000554.76|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000001134.27|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002663.01|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000014178.06|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000018431.55|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002835.63|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000002835.63|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
